.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,LocalTime_DDMMYY_HMS,lab,mode,participant,gender,age,handed,intruct_lang,loc_quad,trial,start_position,trial_direction,catch_trial,t_stim_1,t_stim_2,t_stim_3,t_stim_4,experiment_time_s,key_pressed,press_time,t_trial,block,attention,expected,recalibrated,
0,-1,-1,0,,,19/3/2024_10:8:36,none,default,321,Male,554,left,English,0,1,3,1,0,463.9850999956252,1056.526100001065,1736.4377999983844,2419.223500000953,15.613189099996816,None,None,3041.3387000007788,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_10:8:39,none,default,321,Male,554,left,English,0,2,3,1,0,540.3967000020202,1169.5932000002358,1801.89600000449,2437.828599999193,18.662542499994743,None,None,3044.6265999999014,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_10:8:42,none,default,321,Male,554,left,English,0,3,3,0,0,590.674899998703,1180.1178000023356,1820.8009000009042,2457.7119999958086,21.731271099997684,None,None,3064.068400002725,1,attended,odd,0.0,
0,-1,-1,0,,,19/3/2024_10:8:45,none,default,321,Male,554,left,English,0,4,3,1,0,470.0273999987985,1118.8611000034143,1822.8893999985303,2442.072999998345,24.78694220000034,None,None,3051.7620999962674,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_10:8:48,none,default,321,Male,554,left,English,0,5,3,1,0,518.2359000027645,1122.1205000038026,1802.3975000032806,2373.132300002908,27.771531299993512,None,None,2979.3663999953424,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_10:8:51,none,default,321,Male,554,left,English,0,6,3,0,0,515.2487000013934,1143.1490000031772,1792.165799997747,2440.1891000015894,30.82100919999357,None,None,3046.5698999978486,1,attended,odd,0.0,
0,-1,-1,0,,,19/3/2024_10:8:54,none,default,321,Male,554,left,English,0,7,3,1,0,567.9738000035286,1197.853400000895,1863.9498999982607,2534.3818000037572,33.968683399994916,None,None,3142.162099997222,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_10:8:58,none,default,321,Male,554,left,English,0,8,3,1,0,483.4273999949801,1120.6613999966066,1798.7404999948922,2472.163999998884,37.05607500000042,None,None,3080.0453999981983,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_10:9:1,none,default,321,Male,554,left,English,0,9,3,0,0,461.2976999997045,1113.2395999957225,1718.3509999958915,2389.9852999966242,40.056927499994345,None,None,2997.3651000036625,1,attended,odd,0.0,
0,-1,-1,0,,,19/3/2024_10:9:4,none,default,321,Male,554,left,English,0,10,3,1,0,532.7440000037313,1225.5227999994531,1929.1404000032344,2581.8444000033196,43.249337399996875,None,None,3189.278899997589,1,attended,regular,0.0,
