.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,LocalTime_DDMMYY_HMS,lab,mode,participant,gender,age,handed,intruct_lang,loc_quad,trial,start_position,trial_direction,catch_trial,t_stim_1,t_stim_2,t_stim_3,t_stim_4,experiment_time_s,key_pressed,press_time,t_trial,block,attention,expected,recalibrated,
0,-1,-1,0,,,19/3/2024_11:57:47,none,default,dfg,Male,gf,left,English,0,1,3,1,0,584.7611999997753,1213.0082999938168,1910.708600000362,2570.150699997612,9.285900399998354,None,None,3183.6572000029264,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_11:57:50,none,default,dfg,Male,gf,left,English,0,2,3,0,0,536.3847999979043,1109.585700003663,1734.0328999998746,2435.3272000007564,12.343073700001696,None,None,3050.7624999954714,1,attended,odd,0.0,
0,-1,-1,0,,,19/3/2024_11:57:53,none,default,dfg,Male,gf,left,English,0,3,3,1,0,566.6666999968584,1248.990699998103,1897.9372999965562,2599.16169999633,15.56394680000085,None,None,3214.4939999998314,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_11:57:56,none,default,dfg,Male,gf,left,English,0,4,3,1,0,472.4212000000989,1179.9288999973214,1808.727399999043,2384.3163999990793,18.568671000000904,None,None,2997.7422000010847,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_11:57:59,none,default,dfg,Male,gf,left,English,0,5,3,1,0,506.9140999985393,1089.4702000005054,1722.3016999996617,2403.468900003645,21.59271169999556,None,None,3015.2199999938603,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_11:58:2,none,default,dfg,Male,gf,left,English,0,6,3,0,0,534.8076000009314,1123.978999996325,1752.0736000005854,2441.0414999947534,24.658215099996596,None,None,3058.751399999892,1,attended,odd,0.0,
0,-1,-1,0,,,19/3/2024_11:58:5,none,default,dfg,Male,gf,left,English,0,7,3,1,0,466.2060999980895,1097.2365999987232,1699.3417000048794,2334.6782000007806,27.61238520000188,None,None,2947.8321999995387,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_11:58:8,none,default,dfg,Male,gf,left,English,0,8,3,1,0,589.6613000004436,1181.5103999979328,1811.09909999941,2444.2708999995375,30.66871800000081,None,None,3052.0185999994283,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_11:58:11,none,default,dfg,Male,gf,left,English,0,9,3,0,0,520.512899995083,1190.6818999996176,1860.7861999989836,2500.5490999974427,33.781750699999975,None,None,3109.831399997347,1,attended,odd,0.0,
0,-1,-1,0,,,19/3/2024_11:58:14,none,default,dfg,Male,gf,left,English,0,10,3,1,0,558.660200003942,1139.8807000005036,1748.1518999993568,2342.463000000862,36.739553599996725,None,None,2952.3798000009265,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_11:58:17,none,default,dfg,Male,gf,left,English,0,11,3,1,0,481.46940000151517,1170.5650000003516,1772.4949999974342,2465.6462999992073,39.821698200001265,None,None,3075.1863999976194,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_11:58:20,none,default,dfg,Male,gf,left,English,0,12,3,0,0,532.7993000028073,1148.8345000034315,1753.0973000029917,2419.9214999971446,42.85889009999664,None,None,3032.5222999963444,1,attended,odd,0.0,
0,-1,-1,0,,,19/3/2024_11:58:23,none,default,dfg,Male,gf,left,English,0,13,3,1,0,472.18110000540037,1171.4916000055382,1860.6282000037027,2447.684600003413,45.92122849999578,None,None,3058.1325000021025,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_11:58:26,none,default,dfg,Male,gf,left,English,0,14,3,1,0,590.4181999940192,1280.0187999964692,1962.4002999989898,2550.8182999983546,49.08674880000035,None,None,3157.8856999985874,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_11:58:29,none,default,dfg,Male,gf,left,English,0,15,3,0,0,560.1717999961693,1147.4502999990364,1843.1362999981502,2412.729199997557,52.12340799999947,None,None,3028.8448999999673,1,attended,odd,0.0,
0,-1,-1,0,,,19/3/2024_11:58:32,none,default,dfg,Male,gf,left,English,0,16,3,1,0,588.3065999951214,1277.5414999996428,1904.5361999960733,2504.5042999990983,55.24049399999785,None,None,3112.0727000015904,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_11:58:36,none,default,dfg,Male,gf,left,English,0,17,3,1,0,474.07559999555815,1060.5742999978247,1758.1530999959796,2437.1229999960633,58.28817619999609,None,None,3045.006400003331,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_11:58:39,none,default,dfg,Male,gf,left,English,0,18,3,0,0,496.6396000017994,1129.007299998193,1795.260099999723,2451.9528999953764,61.3584606000004,None,None,3064.715000000433,1,attended,odd,0.0,
0,-1,-1,0,,,19/3/2024_11:58:42,none,default,dfg,Male,gf,left,English,0,19,3,0,0,532.4564999973518,1213.8555999990785,1888.6378000024706,2583.2826999976533,64.55427369999961,None,None,3189.0266999980668,1,attended,odd,0.0,
0,-1,-1,0,,,19/3/2024_11:58:45,none,default,dfg,Male,gf,left,English,0,20,3,1,0,494.4991999946069,1161.1208999966038,1780.3570999967633,2436.248699996213,67.6129723999984,None,None,3051.04510000092,1,attended,regular,0.0,
0,-1,-1,0,,,19/3/2024_11:59:48,none,default,dfg,Male,gf,left,English,0,21,3,1,0,581.1205999998492,1286.3265000050887,1982.207600005495,2634.5752000052016,130.25555960000202,escape,446.9418999942718,3244.547899994359,2,attended,regular,0.0,
